"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\home\NewsLetter.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\home\Numbers.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\home\faq\FAQ.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\home\faq\FAQItem.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\home\services\Services.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\home\services\ServicesList.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 5, 50
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\home\testimonials\Testimonial.tsx", "TypeScript JSX", 66, 0, 0, 0, 0, 0, 3, 69
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\home\testimonials\Testimonials.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\navBar\Dropdown.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\navBar\Lines.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\navBar\Mobile.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\navBar\NavBar.tsx", "TypeScript JSX", 84, 0, 0, 0, 0, 0, 8, 92
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\navBar\NavItem.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\CTABtn.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\Input.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\ProfileClient.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 7, 46
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\ProfileSkeleton.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\Section.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 6, 51
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\Skeleton.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\address\Address.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\address\AddressModal.tsx", "TypeScript JSX", 83, 0, 0, 0, 0, 0, 3, 86
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\address\AddressSection.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\address\DeleteModal.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\address\ManageAddress.tsx", "TypeScript JSX", 121, 0, 0, 0, 0, 0, 7, 128
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\address\NewAddress.tsx", "TypeScript JSX", 100, 0, 0, 0, 0, 0, 8, 108
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\info\InfoClient.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 0, 6, 88
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\info\InfoSection.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\info\NameModal.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\profile\info\PassModal.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\services\Rating.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\services\ServiceCard.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\services\SubServiceCard.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 4, 49
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\CustomInput.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\Dropdown.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 4, 57
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\Loading.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\LottieWrapper.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\Modal.tsx", "TypeScript JSX", 77, 0, 0, 0, 0, 0, 7, 84
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\NoResult.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\ReduxProvider.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\Reveal.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\Search.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\components\shared\SectionHeading.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 2, 17
